receipt_code	drug_name
640421009	大塚生食注　５００ｍＬ
640421010	大塚生食注　１Ｌ
640421011	大塚生食注　１Ｌ
640441013	生食注「トーワ」　２０ｍＬ
640441019	テルモ生食　１００ｍＬ
640460009	生理食塩液「ヒカリ」　５００ｍＬ
640463101	ハルトマンＤ液「小林」　５００ｍＬ
643310004	１０％塩化ナトリウム注射液　２０ｍＬ
643310086	ニソリ・Ｓ注　５００ｍＬ
643310102	ハルトマン液「コバヤシ」　５００ｍＬ
643310155	ラクトリンゲルＳ注「フソー」　２００ｍＬ
643310156	ラクトリンゲルＳ注「フソー」　５００ｍＬ
643310157	ラクトリンゲル液″フソー″　５００ｍＬ
643310170	リンゲル液　５００ｍＬ
643310181	生理食塩液　５ｍＬ
643310182	生理食塩液　２０ｍＬ
643310183	生理食塩液　１００ｍＬ
643310184	生理食塩液　２００ｍＬ
643310185	生理食塩液　２５０ｍＬ
643310187	生理食塩液　５００ｍＬ
643310188	生理食塩液　１Ｌ
643310190	大塚生食注　２０ｍＬ
643310209	テルモ生食　５００ｍＬ
643310210	テルモ生食　１Ｌ
643310213	ニソリＭ注　５００ｍＬ
643310214	ニソリＭ注　２５０ｍＬ
643310223	ラクトリンゲル液″フソー″　２００ｍＬ
643310225	大塚生食注　１００ｍＬ
643310226	大塚生食注　２５０ｍＬ
643310284	ラクトリンゲルＳ注「フソー」　５００ｍＬ
643310286	生理食塩液　５００ｍＬ
643310287	生理食塩液　１Ｌ
643310328	ラクトリンゲル液″フソー″　５００ｍＬ
643310329	ラクトリンゲル液″フソー″　１Ｌ
643310330	ラクトリンゲルＭ注「フソー」　５００ｍＬ
643310332	エスロンＢ注　５００ｍＬ
643310335	生理食塩液　５０ｍＬ
643310336	低分子デキストランＬ注　５００ｍＬ
643310337	低分子デキストラン糖注（大塚製薬工場）　５００ｍＬ
643310343	ペンライブ注　５００ｍＬ
643310347	ラクテック注　５００ｍＬ
643310348	ラクテック注　１Ｌ
643310356	大塚生食注　５０ｍＬ
643310384	ラクトリンゲルＳ注「フソー」　２００ｍＬ
643310391	ラクトリンゲルＭ注「フソー」　５００ｍＬ
643310394	ラクトリンゲルＭ注「フソー」　２００ｍＬ
643310397	リンゲル液　５００ｍＬ
643310402	ペンライブ注　２００ｍＬ
643310403	ペンライブ注　３００ｍＬ
643310406	アルトフェッド注射液　２００ｍＬ
643310407	アルトフェッド注射液　５００ｍＬ
643310408	アルトフェッド注射液　５００ｍＬ
643310415	生食液「小林」　５ｍＬ
643310429	生理食塩液「ヒカリ」　５０ｍＬ
643310434	生理食塩液「ヒカリ」　１００ｍＬ
643310445	生理食塩液「ヒカリ」　５００ｍＬ
